# scripts/lib/r_lint_rules.tsv
# R-script lint rules (HC-13 compliant: describe, never patch).
# Consumed by scripts/lib/r_lint.R via per-line regex matching on raw text.
# Columns: id<TAB>severity<TAB>kind<TAB>pattern<TAB>title<TAB>why<TAB>fix<TAB>doc_anchor
# kind ∈ {regex}; pattern is interpreted as a perl-compatible regex matched per line.
# Severity: HIGH (must fix before re-run), MED (will bite under load), LOW (style/portability).
# doc_anchor refers to sections in docs/user_guides/PARALLEL_R_DOS_AND_DONTS.md
#
# IMPORTANT: any TAB in 'why'/'fix' would break parsing. Use spaces only inside fields.
# IMPORTANT: patterns are evaluated PER LINE — multi-line constructs are not supported;
#            simpler patterns + the harness's verdict layer compensate for this.
id	severity	kind	pattern	title	why	fix	doc_anchor
R012	HIGH	regex	compileNimble\s*\(	compileNimble() — verify it does not cross a PSOCK worker	Compiled NIMBLE C++ objects cannot be serialized through a PSOCK socket. Symptom: workers hang forever or crash with "external pointer is not valid". If a parLapply call sources or wraps this code, it will deadlock.	either (a) drop compileNimble and use the uncompiled MCMC (slower but works), or (b) compile INSIDE the worker FUN, never on the master, and never ship the compiled object across the cluster	#r012-compilenimble
R013	MED	regex	makeCluster\s*\([^)]*outfile\s*=\s*['\"][^/]+['\"]	cluster outfile written to working dir (likely NFS)	The PSOCK worker log file ends up on NFS; under heavy traffic (4 workers * Lussu cadence) this stalls writes and deadlocks the cluster.	outfile = file.path(Sys.getenv("BIOME_USER_TMP", "/Rtmp"), Sys.getenv("USER",""), "cluster.log")	#r013-outfile-nfs
R014	MED	regex	(save|saveRDS|writeRaster|st_write)\s*\([^)]*['\"]/(media|nfs|home)/[^/]+/[^/]+/	save/writeRaster to another user's directory	Cross-user write — see R011. Will fail on production nodes that enforce strict ACLs.	write to ~/ or to a project-shared dir under /media/r_projects/	#r014-cross-user-write
R015	MED	regex	\b(init_list|data_mod|constants|nimble_code|R_inv|N_sites|Smp_size|gbif_taxon_keys)\[\[	indexing a globalenv name from inside a closure	Closures that index globals by name resolve at call time. Inside parLapply workers, those names don't exist unless explicitly exported.	pass the dependency as a function argument: function(seed, init_list, data_mod, constants) { ... }	#r015-globalenv-closure
R016	MED	regex	(load|source|readRDS)\s*\(\s*(file\s*=\s*)?['\"](?!/)[^'\"]+['\"]	relative path in load/source/readRDS	Resolves against getwd(), which the harness changes between layers. The script "works" on your laptop and fails L1.	load(file.path(Sys.getenv("BIOME_DATA_DIR", "."), "Data_for_spGDMM.RData"))	#r016-relative-paths
R017	MED	regex	makeCluster\s*\(\s*[A-Za-z0-9_.()-]+\s*\)	makeCluster without explicit type=	On Linux R defaults to FORK (PSOCK on Windows). FORK + terra/sf/NIMBLE = silent corruption (R002). Be explicit and pessimistic.	makeCluster(n, type = "PSOCK") or use .biome_make_cluster() from fragment 30	#r017-makecluster-type
R019	HIGH	regex	error\s*=\s*function\s*\([^)]*\)\s*(NULL|NA|\{\s*\}|\{\s*NULL\s*\}|\{\s*NA\s*\})	silent tryCatch (empty error handler)	Swallowing every error makes the script appear to "work" while producing wrong/empty output.	at minimum: error = function(e) { message("ERROR: ", conditionMessage(e)); NA }	#r019-silent-trycatch
R020	HIGH	regex	(pwd|password|api_key|api[_-]?token|secret|gbif_pwd)\s*=\s*['\"][^'\"]{4,}['\"]	hardcoded credential	A plaintext password/token committed to NFS is a confidentiality breach. Sysadmin must rotate the credential and migrate it to ~/.Renviron (chmod 600).	password <- Sys.getenv("GBIF_PWD"); plus add to ~/.Renviron: GBIF_PWD=...	#r020-credentials
R021	MED	regex	['\"]/Volumes/	Mac-only path (/Volumes/...)	Path was authored on macOS (USB drive or external HDD). It does not exist on a Linux server — the script will fail at the first read/write.	move data under ~/ or /media/r_projects/<project>/ and switch to relative paths or here::here()	#r021-mac-only-path
R023	HIGH	regex	(devtools|remotes|pak)::install_github\s*\(	devtools::install_github() in script	Like R007 but worse: arbitrary code from a third-party Git ref runs on every batch start; supply-chain risk; network failure stalls compute.	ask sysadmin to add the package to config/r_env_manager.conf :: R_USER_PACKAGES_GITHUB	#r023-install-github
R025	MED	regex	while\s*\(\s*is\.null\s*\(	unbounded retry on network call	while(is.null(x)) try(opq(...)) — if the OSM/GBIF server is permanently down, this spins forever, holds NFS handles, never times out.	for (i in 1:5) { x <- tryCatch(opq(...), error=function(e) NULL); if (!is.null(x)) break; Sys.sleep(2^i) }	#r025-unbounded-retry
R028	MED	regex	(saveRDS|writeRaster|write_csv|write\.csv)\s*\([^)]*['\"]\.?/?(_temp|tmp|cache)/	project-local temp/cache directory	Writing intermediate cache to ./_temp/ on NFS hammers the metadata server and is never cleaned. Use the local SSD-backed /Rtmp.	cache_dir <- file.path(Sys.getenv("BIOME_USER_TMP", "/Rtmp"), Sys.getenv("USER","b"), "cache"); dir.create(cache_dir, FALSE, TRUE)	#r028-project-tempdir
R029	MED	regex	tempdir\s*\(\s*['"](/tmp|/nfs|/home)[^'"]*['"]\)	Temporary files directed to non-local scratch (/tmp or NFS)	/Rtmp is a dedicated 400GB local SSD, ideal for temporary files. /tmp is often a small tmpfs, and NFS is slow for frequent writes. Using /Rtmp prevents OOM and performance degradation, as demonstrated by the Lussu script's fix.	Use Sys.getenv("BIOME_USER_TMP", "/Rtmp") or construct paths within /Rtmp (e.g., file.path(Sys.getenv("BIOME_USER_TMP", "/Rtmp"), Sys.getenv("USER", "u"), "my_temp_dir")).	#r029-tempdir-scratch
